country,year,GDP per capita
Azerbaijan,1995,3200
Azerbaijan,1996,3210
Azerbaijan,1997,3370
Azerbaijan,1998,3630
Azerbaijan,1999,3870
Azerbaijan,2000,4220
Azerbaijan,2001,4570
Azerbaijan,2002,4930
Azerbaijan,2003,5380
Azerbaijan,2004,5800
Azerbaijan,2005,7310
Azerbaijan,2006,9670
Azerbaijan,2007,11.9k
Azerbaijan,2008,12.8k
Azerbaijan,2009,13.7k
Azerbaijan,2010,14.1k
Burundi,1990,1270
Burundi,1991,1300
Burundi,1992,1280
Burundi,1993,1230
Burundi,1994,1180
Burundi,1995,1020
Burundi,1996,928
Burundi,1997,908
Burundi,1998,928
Burundi,1999,892
Burundi,2000,862
Burundi,2001,855
Burundi,2002,865
Burundi,2003,826
Burundi,2004,832
Burundi,2005,807
Burundi,2006,818
Burundi,2007,814
Burundi,2008,817
Burundi,2009,804
Burundi,2010,804
Belgium,1990,36.2k
Belgium,1991,36.7k
Belgium,1992,37.1k
Belgium,1993,36.6k
Belgium,1994,37.6k
Belgium,1995,38.4k
Belgium,1996,38.8k
Belgium,1997,40.2k
Belgium,1998,40.8k
Belgium,1999,42.1k
Belgium,2000,43.5k
Belgium,2001,43.8k
Belgium,2002,44.3k
Belgium,2003,44.5k
Belgium,2004,45.9k
Belgium,2005,46.6k
Belgium,2006,47.4k
Belgium,2007,48.8k
Belgium,2008,48.5k
Belgium,2009,47.1k
Belgium,2010,48k
Benin,1990,2220
Benin,1991,2230
Benin,1992,2220
Benin,1993,2230
Benin,1994,2180
Benin,1995,2270
Benin,1996,2300
Benin,1997,2350
Benin,1998,2360
Benin,1999,2400
Benin,2000,2460
Benin,2001,2510
Benin,2002,2540
Benin,2003,2550
Benin,2004,2580
Benin,2005,2530
Benin,2006,2550
Benin,2007,2630
Benin,2008,2670
Benin,2009,2660
Benin,2010,2630
Burkina Faso,1990,1160
Burkina Faso,1991,1220
Burkina Faso,1992,1170
Burkina Faso,1993,1170
Burkina Faso,1994,1140
Burkina Faso,1995,1160
Burkina Faso,1996,1240
Burkina Faso,1997,1270
Burkina Faso,1998,1310
Burkina Faso,1999,1350
Burkina Faso,2000,1330
Burkina Faso,2001,1360
Burkina Faso,2002,1370
Burkina Faso,2003,1420
Burkina Faso,2004,1430
Burkina Faso,2005,1500
Burkina Faso,2006,1540
Burkina Faso,2007,1550
Burkina Faso,2008,1580
Burkina Faso,2009,1580
Burkina Faso,2010,1660
Bangladesh,1990,1630
Bangladesh,1991,1660
Bangladesh,1992,1720
Bangladesh,1993,1780
Bangladesh,1994,1820
Bangladesh,1995,1890
Bangladesh,1996,1950
Bangladesh,1997,2020
Bangladesh,1998,2090
Bangladesh,1999,2160
Bangladesh,2000,2240
Bangladesh,2001,2310
Bangladesh,2002,2370
Bangladesh,2003,2440
Bangladesh,2004,2540
Bangladesh,2005,2660
Bangladesh,2006,2810
Bangladesh,2007,2980
